Sex,Length,Diameter,Whole weight,Shucked weight,Viscera weight,Shell weight,log_Height,Rings
M,0.455,0.365,0.514,0.2245,0.101,0.15,0.09075436326846414,15
M,0.35,0.265,0.2255,0.0995,0.0485,0.07,0.08617769624105233,7
F,0.53,0.42,0.677,0.2565,0.1415,0.21,0.126632650933366,9
M,0.44,0.365,0.9825985765124554,0.2155,0.114,0.155,0.11778303565638346,10
I,0.33,0.255,0.205,0.0895,0.0395,0.055,0.07696104113612832,7
I,0.425,0.3,0.3515,0.141,0.0775,0.12,0.09075436326846414,8
F,0.53,0.415,0.7775,0.237,0.1415,0.33,0.13976194237515868,20
F,0.545,0.425,0.768,0.294,0.1495,0.26,0.11778303565638346,16
M,0.475,0.37,0.5095,0.2165,0.1125,0.165,0.11778303565638346,9
F,0.55,0.44,0.8945,0.3145,0.151,0.32,0.13976194237515868,19
F,0.525,0.38,0.6065,0.194,0.1475,0.21,0.1310282624064041,14
M,0.43,0.35,0.406,0.1675,0.081,0.135,0.10436001532424277,10
M,0.49,0.38,0.5415,0.2175,0.095,0.19,0.126632650933366,11
F,0.535,0.405,0.6845,0.2725,0.171,0.205,0.13540463700620295,10
F,0.47,0.355,0.4755,0.1675,0.0805,0.185,0.09531017980432487,10
M,0.5,0.4,0.6645,0.258,0.133,0.24,0.12221763272424921,12
I,0.355,0.28,0.2905,0.095,0.0395,0.115,0.08157998699242289,7
F,0.44,0.34,0.451,0.188,0.087,0.13,0.09531017980432487,10
M,0.365,0.295,0.2555,0.097,0.043,0.1,0.07696104113612832,7
M,0.45,0.32,0.381,0.1705,0.075,0.115,0.09531017980432487,9
M,0.355,0.28,0.2455,0.0955,0.062,0.075,0.09075436326846414,11
I,0.38,0.275,0.2255,0.08,0.049,0.085,0.09531017980432487,10
F,0.565,0.44,0.9395,0.4275,0.214,0.27,0.14410034397375684,12
F,0.55,0.415,0.7635,0.318,0.21,0.2,0.126632650933366,9
F,0.615,0.48,1.1615,0.513,0.301,0.305,0.1527210870176639,10
F,0.56,0.44,0.9285,0.3825,0.188,0.3,0.1310282624064041,11
F,0.58,0.45,0.9955,0.3945,0.272,0.285,0.16974277458709452,11
M,0.59,0.445,0.931,0.356,0.234,0.28,0.1310282624064041,12
M,0.605,0.475,0.9365,0.394,0.219,0.295,0.16551443847757338,15
M,0.575,0.425,0.8635,0.393,0.227,0.2,0.1310282624064041,11
M,0.58,0.47,0.9975,0.3935,0.242,0.33,0.1527210870176639,10
F,0.68,0.56,1.639,0.6055,0.2805,0.46,0.1527210870176639,15
F,0.665,0.525,1.338,0.5515,0.3575,0.35,0.1527210870176639,18
F,0.68,0.55,1.798,0.815,0.3925,0.455,0.16126814759612226,19
F,0.705,0.55,1.7095,0.633,0.4115,0.49,0.18232155679395462,13
M,0.465,0.355,0.4795,0.227,0.124,0.125,0.09984533496971613,8
F,0.54,0.475,1.217,0.5305,0.3075,0.34,0.14410034397375684,16
F,0.45,0.355,0.5225,0.237,0.1165,0.145,0.09984533496971613,8
F,0.575,0.445,0.883,0.381,0.2035,0.26,0.126632650933366,11
M,0.355,0.29,0.3275,0.134,0.086,0.09,0.08617769624105233,9
F,0.45,0.335,0.425,0.1865,0.091,0.115,0.09984533496971613,9
F,0.55,0.425,0.8515,0.362,0.196,0.27,0.126632650933366,14
I,0.24,0.175,0.07,0.0315,0.0235,0.02,0.04401688541677432,5
I,0.205,0.15,0.43063559999999995,0.0255,0.015,0.012,0.05354076692802982,5
I,0.21,0.15,0.042,0.0175,0.0125,0.015,0.04879016416943201,4
I,0.39,0.295,0.203,0.0875,0.045,0.075,0.09075436326846414,7
M,0.47,0.37,0.5795,0.293,0.227,0.14,0.11332868530700317,9
F,0.46,0.375,0.4605,0.1775,0.11,0.15,0.11332868530700317,7
I,0.325,0.245,0.161,0.0755,0.0255,0.045,0.06765864847381481,6
F,0.525,0.425,0.8355,0.3545,0.2135,0.245,0.14842000511827327,9
I,0.52,0.41,0.595,0.2385,0.111,0.19,0.11332868530700317,8
M,0.4,0.32,0.303,0.1335,0.06,0.1,0.09075436326846414,7
M,0.485,0.36,0.5415,0.2595,0.096,0.16,0.12221763272424921,10
F,0.47,0.36,0.4775,0.2105,0.1055,0.15,0.11332868530700317,10
M,0.405,0.31,0.385,0.173,0.0915,0.11,0.09531017980432487,7
F,0.5,0.4,0.6615,0.2565,0.1755,0.22,0.1310282624064041,8
M,0.445,0.35,0.4425,0.192,0.0955,0.135,0.11332868530700317,8
M,0.47,0.385,0.5895,0.2765,0.12,0.17,0.126632650933366,8
I,0.245,0.19,0.086,0.042,0.014,0.025,0.058268908123975775,4
F,0.505,0.4,0.583,0.246,0.13,0.175,0.11778303565638346,7
M,0.45,0.345,0.4115,0.18,0.1125,0.135,0.09984533496971613,7
M,0.505,0.405,0.625,0.305,0.16,0.175,0.10436001532424277,9
F,0.53,0.41,0.6965,0.302,0.1935,0.2,0.12221763272424921,10
M,0.425,0.325,0.3785,0.1705,0.08,0.1,0.09075436326846414,7
M,0.52,0.43833921015514804,0.58,0.234,0.1315,0.185,0.11332868530700317,8
M,0.475,0.355,0.48,0.234,0.1015,0.135,0.11332868530700317,8
F,0.565,0.44,0.915,0.354,0.1935,0.32,0.14842000511827327,12
F,0.595,0.495,1.285,0.416,0.224,0.485,0.16974277458709452,13
F,0.475,0.39,0.5305,0.2135,0.1155,0.17,0.11332868530700317,10
I,0.31,0.235,0.151,0.063,0.0405,0.045,0.06765864847381481,6
M,0.555,0.425,0.7665,0.264,0.168,0.275,0.12221763272424921,13
F,0.4,0.32,0.353,0.1405,0.0985,0.1,0.10436001532424277,8
F,0.595,0.475,1.247,0.48,0.225,0.425,0.15700374880966475,20
M,0.57,0.48,1.185,0.474,0.261,0.38,0.16126814759612226,11
F,0.605,0.45,1.098,0.481,0.2895,0.315,0.178146185383474,13
F,0.6,0.475,1.0075,0.4425,0.221,0.28,0.13976194237515868,15
M,0.595,0.475,0.944,0.3625,0.189,0.315,0.1310282624064041,9
F,0.6,0.47,0.922,0.363,0.194,0.305,0.13976194237515868,10
F,0.555,0.425,0.788,0.282,0.1595,0.285,0.1310282624064041,11
F,0.615,0.475,1.1025,0.4695,0.2355,0.345,0.15700374880966475,14
F,0.575,0.445,0.941,0.3845,0.252,0.285,0.1310282624064041,9
M,0.62,0.51,1.615,0.5105,0.192,0.675,0.16126814759612226,12
F,0.52,0.425,0.9885,0.396,0.225,0.32,0.1527210870176639,16
M,0.595,0.475,1.3175,0.408,0.234,0.58,0.14842000511827327,21
M,0.58,0.45,1.013,0.38,0.216,0.36,0.1310282624064041,14
F,0.57,0.465,1.295,0.339,0.2225,0.44,0.16551443847757338,12
M,0.625,0.465,1.195,0.4825,0.205,0.4,0.1310282624064041,13
M,0.56,0.44,0.8645,0.3305,0.2075,0.26,0.14842000511827327,10
F,0.46,0.355,0.517,0.2205,0.114,0.165,0.12221763272424921,9
F,0.575,0.45,0.9775,0.3135,0.231,0.33,0.14842000511827327,12
M,0.565,0.425,0.8115,0.341,0.1675,0.255,0.126632650933366,15
M,0.555,0.44,0.755,0.307,0.1525,0.26,0.13976194237515868,12
M,0.595,0.465,1.115,0.4015,0.254,0.39,0.16126814759612226,13
F,0.625,0.495,1.262,0.507,0.318,0.39,0.1527210870176639,10
M,0.695,0.56,1.494,0.588,0.3425,0.485,0.173953307123438,15
M,0.665,0.535,1.606,0.5755,0.388,0.48,0.178146185383474,14
